LAT,LONG
8.014196429,98.93319643
13.75653896,100.5550909
13.753,100.5
14.23315789,99.43374737
16.5899403,103.6133955
16.36767949,99.6500641
16.35478607,102.5971144
12.68344048,102.1143214
13.68152688,101.1431935
13.15496522,101.0667304
15.15109434,100.0795094
15.97548387,101.9370726
10.33735345,99.18531897
19.88275,99.91875
18.85669347,98.91724121
7.477913043,99.5570087
12.11457407,102.4941111
16.84886667,98.83153333
14.18407143,101.1309286
13.87528302,100.1222358
17.31197895,104.4824211
15.08368421,102.1976842
8.347576471,99.8606
15.67909231,100.1862923
13.89219231,100.4318462
6.231012987,101.7508312
18.87981818,100.8072323
18.15864151,103.6755283
14.89128571,102.9727672
14.04813333,100.62965
11.88472917,99.66945833
14.0006875,101.5345
6.754756522,101.3603391
14.37378261,100.531913
19.28782609,100.094029
8.643742857,98.27682857
7.543029851,100.0658358
16.2582809,100.3574944
16.87603191,100.3803617
13.04403261,99.8751413
16.27551724,101.1124655
18.16184615,100.0986282
7.891435897,98.36633333
15.99183582,103.1869478
16.53892453,104.5612642
18.75397727,98.05331818
15.83796203,104.3048734
6.382275862,101.2634483
15.93956771,103.8012396
9.836081967,98.57229508
12.77670149,101.418
13.60070192,99.797625
15.03269421,100.8014793
18.34003093,99.50170103
18.34647059,98.95884314
17.41151111,101.6448333
14.93913725,104.328348
17.398032,103.829976
7.117035971,100.5191367
6.697966292,99.73135955
13.61818,100.65864
13.43030556,99.95522222
13.586675,100.2175
13.72594915,102.3390508
14.55821101,100.8909541
14.88734884,100.3588372
17.1564186,99.79468605
14.53968807,100.0094679
9.227528796,99.40158115
14.93401258,103.6706478
17.91533871,102.7967419
17.1790339,102.3119153
14.61310959,100.3824384
15.85805357,104.7069464
17.40798065,102.8877548
17.63947761,100.3270299
15.37104348,99.7926087
15.27466364,105.0234136
