CHANGWAT_T,CHANGWAT_E,LAT,LONG
กระบี่,Krabi,8.014196429,98.93319643
กรุงเทพมหานคร,Bangkok,13.75653896,100.5550909
ไม่พบข้อมูล,Unknown,13.753,100.5
กาญจนบุรี,Kanchanaburi,14.23315789,99.43374737
กาฬสินธุ์,Kalasin,16.5899403,103.6133955
กำแพงเพชร,Kamphaeng Phet,16.36767949,99.6500641
ขอนแก่น,Khon Kaen,16.35478607,102.5971144
จันทบุรี,Chanthaburi,12.68344048,102.1143214
ฉะเชิงเทรา,Chachoengsao,13.68152688,101.1431935
ชลบุรี,Chon buri,13.15496522,101.0667304
ชัยนาท,Chai Nat,15.15109434,100.0795094
ชัยภูมิ,Chaiyaphum,15.97548387,101.9370726
ชุมพร,Chumphon,10.33735345,99.18531897
เชียงราย,Chiang Rai,19.88275,99.91875
เชียงใหม่,Chiang Mai,18.85669347,98.91724121
ตรัง,Trang,7.477913043,99.5570087
ตราด,Trat,12.11457407,102.4941111
ตาก,Tak,16.84886667,98.83153333
นครนายก,Nakhon Nayok,14.18407143,101.1309286
นครปฐม,Nakhon Pathom,13.87528302,100.1222358
นครพนม,Nakhon Phanom,17.31197895,104.4824211
นครราชสีมา,Nakhon Ratchasima,15.08368421,102.1976842
นครศรีธรรมราช,Nakhon Si Thammarat,8.347576471,99.8606
นครสวรรค์,Nakhon Sawan,15.67909231,100.1862923
นนทบุรี,Nonthaburi,13.89219231,100.4318462
นราธิวาส,Narathiwat,6.231012987,101.7508312
น่าน,Nan,18.87981818,100.8072323
บึงกาฬ,Bueng Kan,18.15864151,103.6755283
บุรีรัมย์,Buri Ram,14.89128571,102.9727672
ปทุมธานี,Pathum Thani,14.04813333,100.62965
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.88472917,99.66945833
ปราจีนบุรี,Prachin buri,14.0006875,101.5345
ปัตตานี,Pattani,6.754756522,101.3603391
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.37378261,100.531913
พะเยา,Phayao,19.28782609,100.094029
พังงา,Phangnga,8.643742857,98.27682857
พัทลุง,Phatthalung,7.543029851,100.0658358
พิจิตร,Phichit,16.2582809,100.3574944
พิษณุโลก,Phitsanulok,16.87603191,100.3803617
เพชรบุรี,Phetchaburi,13.04403261,99.8751413
เพชรบูรณ์,Phetchabun,16.27551724,101.1124655
แพร่,Phrae,18.16184615,100.0986282
ภูเก็ต,Phuket,7.891435897,98.36633333
มหาสารคาม,Maha Sarakham,15.99183582,103.1869478
มุกดาหาร,Mukdahan,16.53892453,104.5612642
แม่ฮ่องสอน,Mae Hong Son,18.75397727,98.05331818
ยโสธร,Yasothon,15.83796203,104.3048734
ยะลา,Yala,6.382275862,101.2634483
ร้อยเอ็ด,Roi Et,15.93956771,103.8012396
ระนอง,Ranong,9.836081967,98.57229508
ระยอง,Rayong,12.77670149,101.418
ราชบุรี,Ratchaburi,13.60070192,99.797625
ลพบุรี,Lop Buri,15.03269421,100.8014793
ลำปาง,Lampang,18.34003093,99.50170103
ลำพูน,Lamphun,18.34647059,98.95884314
เลย,Loei,17.41151111,101.6448333
ศรีสะเกษ,Si Sa Ket,14.93913725,104.328348
สกลนคร,Sakon Nakhon,17.398032,103.829976
สงขลา,Songkhla,7.117035971,100.5191367
สตูล,Satun,6.697966292,99.73135955
สมุทรปราการ,Samut Prakan,13.61818,100.65864
สมุทรสงคราม,Samut Songkhram,13.43030556,99.95522222
สมุทรสาคร,Samut Sakhon,13.586675,100.2175
สระแก้ว,Sa Kaeo,13.72594915,102.3390508
สระบุรี,Saraburi,14.55821101,100.8909541
สิงห์บุรี,Sing Buri,14.88734884,100.3588372
สุโขทัย,Sukhothai,17.1564186,99.79468605
สุพรรณบุรี,Suphan Buri,14.53968807,100.0094679
สุราษฎร์ธานี,Surat Thani,9.227528796,99.40158115
สุรินทร์,Surin,14.93401258,103.6706478
หนองคาย,Nong Khai,17.91533871,102.7967419
หนองบัวลำภู,Nong Bua Lam phu,17.1790339,102.3119153
อ่างทอง,Ang Thong,14.61310959,100.3824384
อำนาจเจริญ,Amnat Charoen,15.85805357,104.7069464
อุดรธานี,Udon Thani,17.40798065,102.8877548
อุตรดิตถ์,Uttaradit,17.63947761,100.3270299
อุทัยธานี,Uthai Thani,15.37104348,99.7926087
อุบลราชธานี,Ubon Ratchathani,15.27466364,105.0234136
